Total number of initial group guesses: 100. 

1 Cost = 531.5463647556811
1 Group Members: 
[[ 3  0]
 [ 2  2]
 [ 1  1]
 [ 3  2]
 [ 3  1]
 [ 4 -1]
 [ 4  4]
 [ 4  2]
 [ 4  3]
 [ 4 -2]
 [ 3  3]
 [ 1  0]
 [ 4  1]
 [ 2  0]
 [ 4  0]] 

1 Group Paths: 
Initial State Final State                                       Path  Effective Pi-Time
       [4, 1]      [3, 0]                  ['[4, 1]', '0', '[3, 0]']         195.062369
       [4, 1]      [2, 2]                  ['[4, 1]', '1', '[2, 2]']         132.420701
       [4, 1]      [1, 1]                  ['[4, 1]', '1', '[1, 1]']         252.283393
       [4, 1]      [3, 2]                  ['[4, 1]', '1', '[3, 2]']         105.451152
       [4, 1]      [3, 1]                  ['[4, 1]', '0', '[3, 1]']         176.398981
       [4, 1]     [4, -1]                 ['[4, 1]', '1', '[4, -1]']          87.422116
       [4, 1]      [4, 4]                  ['[4, 1]', '2', '[4, 4]']         113.869684
       [4, 1]      [4, 2]                  ['[4, 1]', '1', '[4, 2]']         101.419544
       [4, 1]      [4, 3]                  ['[4, 1]', '2', '[4, 3]']         102.642484
       [4, 1]     [4, -2]                 ['[4, 1]', '0', '[4, -2]']         162.490005
       [4, 1]      [3, 3]                  ['[4, 1]', '1', '[3, 3]']          99.380393
       [4, 1]      [1, 0]                  ['[4, 1]', '2', '[1, 0]']         191.627467
       [4, 1]      [2, 0]                  ['[4, 1]', '2', '[2, 0]']         142.570601
       [4, 1]      [4, 0]                  ['[4, 1]', '1', '[4, 0]']          97.202502
       [2, 0]      [3, 0]                  ['[2, 0]', '0', '[3, 0]']         177.211482
       [2, 0]      [2, 2]                  ['[2, 0]', '2', '[2, 2]']         203.956152
       [2, 0]      [1, 1]                  ['[2, 0]', '0', '[1, 1]']         281.196043
       [2, 0]      [3, 2]                  ['[2, 0]', '0', '[3, 2]']         180.635279
       [2, 0]      [3, 1]                  ['[2, 0]', '0', '[3, 1]']         158.548094
       [2, 0]     [4, -1]                 ['[2, 0]', '0', '[4, -1]']         166.795861
       [2, 0]      [4, 4]                  ['[2, 0]', '2', '[4, 4]']         118.968717
       [2, 0]      [4, 2]                  ['[2, 0]', '2', '[4, 2]']         119.387917
       [2, 0]      [4, 3]                  ['[2, 0]', '2', '[4, 3]']         107.741517
       [2, 0]     [4, -2]                 ['[2, 0]', '0', '[4, -2]']         144.639118
       [2, 0]      [3, 3]   ['[2, 0]', '2', '[4, 2]', '1', '[3, 3]']         226.596523
       [2, 0]      [1, 0]                  ['[2, 0]', '2', '[1, 0]']         196.726501
       [2, 0]      [4, 1]                  ['[2, 0]', '2', '[4, 1]']         142.570601
       [2, 0]      [4, 0]                  ['[2, 0]', '2', '[4, 0]']         149.053144
       [4, 0]      [3, 0]                  ['[4, 0]', '0', '[3, 0]']         129.549912
       [4, 0]      [2, 2]                  ['[4, 0]', '1', '[2, 2]']         136.031872
       [4, 0]      [1, 1]                  ['[4, 0]', '0', '[1, 1]']         233.534473
       [4, 0]      [3, 2]                  ['[4, 0]', '1', '[3, 2]']         109.062323
       [4, 0]      [3, 1]                  ['[4, 0]', '0', '[3, 1]']         110.886524
       [4, 0]     [4, -1]                 ['[4, 0]', '1', '[4, -1]']          91.033287
       [4, 0]      [4, 4]                  ['[4, 0]', '2', '[4, 4]']         120.352226
       [4, 0]      [4, 2]                  ['[4, 0]', '1', '[4, 2]']         105.030715
       [4, 0]      [4, 3]                  ['[4, 0]', '2', '[4, 3]']         109.125026
       [4, 0]     [4, -2]                 ['[4, 0]', '0', '[4, -2]']          96.977548
       [4, 0]      [3, 3]                  ['[4, 0]', '1', '[3, 3]']         102.991564
       [4, 0]      [1, 0]                  ['[4, 0]', '2', '[1, 0]']         198.110010
       [4, 0]      [4, 1]                  ['[4, 0]', '1', '[4, 1]']          97.202502
       [4, 0]      [2, 0]                  ['[4, 0]', '2', '[2, 0]']         149.053144 

######################################################################## 

2 Cost = 531.5463647556811
2 Group Members: 
[[ 2  2]
 [ 4  0]
 [ 3  2]
 [ 4  4]
 [ 4 -1]
 [ 4  1]
 [ 4  3]
 [ 3  1]
 [ 1  1]
 [ 1  0]
 [ 3  3]
 [ 4 -2]
 [ 4  2]
 [ 3  0]
 [ 2  0]] 

2 Group Paths: 
Initial State Final State                                       Path  Effective Pi-Time
       [2, 2]      [4, 0]                  ['[2, 2]', '1', '[4, 0]']         136.031872
       [2, 2]      [3, 2]                  ['[2, 2]', '1', '[3, 2]']         144.280522
       [2, 2]      [4, 4]                  ['[2, 2]', '2', '[4, 4]']         175.255235
       [2, 2]     [4, -1]                 ['[2, 2]', '1', '[4, -1]']         126.251486
       [2, 2]      [4, 1]                  ['[2, 2]', '1', '[4, 1]']         132.420701
       [2, 2]      [4, 3]                  ['[2, 2]', '2', '[4, 3]']         164.028035
       [2, 2]      [3, 1]                  ['[2, 2]', '0', '[3, 1]']         176.663547
       [2, 2]      [1, 1]                  ['[2, 2]', '1', '[1, 1]']         291.112763
       [2, 2]      [1, 0]                  ['[2, 2]', '2', '[1, 0]']         253.013018
       [2, 2]      [3, 3]                  ['[2, 2]', '1', '[3, 3]']         138.209763
       [2, 2]     [4, -2]                 ['[2, 2]', '0', '[4, -2]']         162.754570
       [2, 2]      [4, 2]                  ['[2, 2]', '1', '[4, 2]']         140.248914
       [2, 2]      [3, 0]                  ['[2, 2]', '0', '[3, 0]']         195.326935
       [2, 2]      [2, 0]                  ['[2, 2]', '2', '[2, 0]']         203.956152
       [4, 0]      [2, 2]                  ['[4, 0]', '1', '[2, 2]']         136.031872
       [4, 0]      [3, 2]                  ['[4, 0]', '1', '[3, 2]']         109.062323
       [4, 0]      [4, 4]                  ['[4, 0]', '2', '[4, 4]']         120.352226
       [4, 0]     [4, -1]                 ['[4, 0]', '1', '[4, -1]']          91.033287
       [4, 0]      [4, 1]                  ['[4, 0]', '1', '[4, 1]']          97.202502
       [4, 0]      [4, 3]                  ['[4, 0]', '2', '[4, 3]']         109.125026
       [4, 0]      [3, 1]                  ['[4, 0]', '0', '[3, 1]']         110.886524
       [4, 0]      [1, 1]                  ['[4, 0]', '0', '[1, 1]']         233.534473
       [4, 0]      [1, 0]                  ['[4, 0]', '2', '[1, 0]']         198.110010
       [4, 0]      [3, 3]                  ['[4, 0]', '1', '[3, 3]']         102.991564
       [4, 0]     [4, -2]                 ['[4, 0]', '0', '[4, -2]']          96.977548
       [4, 0]      [4, 2]                  ['[4, 0]', '1', '[4, 2]']         105.030715
       [4, 0]      [3, 0]                  ['[4, 0]', '0', '[3, 0]']         129.549912
       [4, 0]      [2, 0]                  ['[4, 0]', '2', '[2, 0]']         149.053144
       [3, 2]      [2, 2]                  ['[3, 2]', '1', '[2, 2]']         144.280522
       [3, 2]      [4, 0]                  ['[3, 2]', '1', '[4, 0]']         109.062323
       [3, 2]      [4, 4]   ['[3, 2]', '1', '[4, 2]', '2', '[4, 4]']         203.966364
       [3, 2]     [4, -1]                 ['[3, 2]', '1', '[4, -1]']          99.281936
       [3, 2]      [4, 1]                  ['[3, 2]', '1', '[4, 1]']         105.451152
       [3, 2]      [4, 3]   ['[3, 2]', '1', '[4, 2]', '2', '[4, 3]']         192.739164
       [3, 2]      [3, 1]                  ['[3, 2]', '0', '[3, 1]']         107.228643
       [3, 2]      [1, 1]                  ['[3, 2]', '0', '[1, 1]']         229.876592
       [3, 2]      [1, 0]   ['[3, 2]', '1', '[4, 2]', '2', '[1, 0]']         281.724148
       [3, 2]      [3, 3]                  ['[3, 2]', '1', '[3, 3]']         111.240213
       [3, 2]     [4, -2]                 ['[3, 2]', '0', '[4, -2]']          93.319667
       [3, 2]      [4, 2]                  ['[3, 2]', '1', '[4, 2]']         113.279364
       [3, 2]      [3, 0]                  ['[3, 2]', '0', '[3, 0]']         125.892031
       [3, 2]      [2, 0]                  ['[3, 2]', '0', '[2, 0]']         180.635279
       [4, 4]      [2, 2]                  ['[4, 4]', '2', '[2, 2]']         175.255235
       [4, 4]      [4, 0]                  ['[4, 4]', '2', '[4, 0]']         120.352226
       [4, 4]      [3, 2]   ['[4, 4]', '2', '[4, 2]', '1', '[3, 2]']         203.966364
       [4, 4]     [4, -1]  ['[4, 4]', '2', '[4, 2]', '1', '[4, -1]']         185.937328
       [4, 4]      [4, 1]                  ['[4, 4]', '2', '[4, 1]']         113.869684
       [4, 4]      [4, 3]                  ['[4, 4]', '2', '[4, 3]']          79.040600
       [4, 4]      [3, 1]   ['[4, 4]', '2', '[4, 0]', '0', '[3, 1]']         231.238751
       [4, 4]      [1, 1]   ['[4, 4]', '2', '[4, 2]', '1', '[1, 1]']         350.798606
       [4, 4]      [1, 0]                  ['[4, 4]', '2', '[1, 0]']         168.025584
       [4, 4]      [3, 3]   ['[4, 4]', '2', '[4, 2]', '1', '[3, 3]']         197.895606
       [4, 4]     [4, -2]  ['[4, 4]', '2', '[4, 0]', '0', '[4, -2]']         217.329774
       [4, 4]      [4, 2]                  ['[4, 4]', '2', '[4, 2]']          90.687000
       [4, 4]      [3, 0]                  ['[4, 4]', '2', '[3, 0]']         236.884305
       [4, 4]      [2, 0]                  ['[4, 4]', '2', '[2, 0]']         118.968717
      [4, -1]      [2, 2]                 ['[4, -1]', '1', '[2, 2]']         126.251486
      [4, -1]      [4, 0]                 ['[4, -1]', '1', '[4, 0]']          91.033287
      [4, -1]      [3, 2]                 ['[4, -1]', '1', '[3, 2]']          99.281936
      [4, -1]      [4, 4]  ['[4, -1]', '1', '[4, 2]', '2', '[4, 4]']         185.937328
      [4, -1]      [4, 1]                 ['[4, -1]', '1', '[4, 1]']          87.422116
      [4, -1]      [4, 3]  ['[4, -1]', '1', '[4, 2]', '2', '[4, 3]']         174.710128
      [4, -1]      [3, 1]                 ['[4, -1]', '0', '[3, 1]']          93.389226
      [4, -1]      [1, 1]                 ['[4, -1]', '0', '[1, 1]']         216.037174
      [4, -1]      [1, 0]  ['[4, -1]', '1', '[4, 2]', '2', '[1, 0]']         263.695112
      [4, -1]      [3, 3]                 ['[4, -1]', '1', '[3, 3]']          93.211177
      [4, -1]     [4, -2]                ['[4, -1]', '0', '[4, -2]']          79.480249
      [4, -1]      [4, 2]                 ['[4, -1]', '1', '[4, 2]']          95.250328
      [4, -1]      [3, 0]                 ['[4, -1]', '0', '[3, 0]']         112.052613
      [4, -1]      [2, 0]                 ['[4, -1]', '0', '[2, 0]']         166.795861
       [4, 1]      [2, 2]                  ['[4, 1]', '1', '[2, 2]']         132.420701
       [4, 1]      [4, 0]                  ['[4, 1]', '1', '[4, 0]']          97.202502
       [4, 1]      [3, 2]                  ['[4, 1]', '1', '[3, 2]']         105.451152
       [4, 1]      [4, 4]                  ['[4, 1]', '2', '[4, 4]']         113.869684
       [4, 1]     [4, -1]                 ['[4, 1]', '1', '[4, -1]']          87.422116
       [4, 1]      [4, 3]                  ['[4, 1]', '2', '[4, 3]']         102.642484
       [4, 1]      [3, 1]                  ['[4, 1]', '0', '[3, 1]']         176.398981
       [4, 1]      [1, 1]                  ['[4, 1]', '1', '[1, 1]']         252.283393
       [4, 1]      [1, 0]                  ['[4, 1]', '2', '[1, 0]']         191.627467
       [4, 1]      [3, 3]                  ['[4, 1]', '1', '[3, 3]']          99.380393
       [4, 1]     [4, -2]                 ['[4, 1]', '0', '[4, -2]']         162.490005
       [4, 1]      [4, 2]                  ['[4, 1]', '1', '[4, 2]']         101.419544
       [4, 1]      [3, 0]                  ['[4, 1]', '0', '[3, 0]']         195.062369
