Axial Freqs, Avg. Fidelities
2.938000000000000056e-01,9.984687318776003240e-01
2.957000000000000184e-01,9.984686851503526972e-01
2.975999999999999757e-01,9.984686525157178139e-01
2.994999999999999885e-01,9.984686317288847812e-01
3.014000000000000012e-01,9.984686157030298048e-01
3.033000000000000140e-01,9.984685998550025809e-01
3.052000000000000268e-01,9.984685764523503204e-01
3.071000000000000396e-01,9.984685372336338238e-01
3.089999999999999969e-01,9.984684807481877256e-01
3.109000000000000097e-01,9.984684042820622940e-01
3.127999999999999670e-01,9.984683106284283349e-01
3.146999999999999797e-01,9.984682109330726973e-01
3.165999999999999925e-01,9.984681127628599606e-01
3.185000000000000053e-01,9.984680300668276054e-01
3.204000000000000181e-01,9.984679793807765824e-01
3.223000000000000309e-01,9.984679674989417331e-01
3.242000000000000437e-01,9.984680054687095074e-01
3.261000000000000010e-01,9.984680971668465910e-01
3.280000000000000138e-01,9.984682331526851806e-01
3.298999999999999710e-01,9.984684104654947268e-01
3.317999999999999838e-01,9.984686131207866078e-01
3.336999999999999966e-01,9.984688187888872690e-01
3.356000000000000094e-01,9.984690217236297238e-01
3.375000000000000222e-01,9.984692013613489792e-01
3.394000000000000350e-01,9.984693454889699282e-01
3.412999999999999923e-01,9.984694649707996916e-01
3.432000000000000051e-01,9.984695449990943494e-01
3.451000000000000179e-01,9.984695947181488895e-01
3.469999999999999751e-01,9.984696387277312013e-01
3.488999999999999879e-01,9.984696507903718654e-01
3.508000000000000007e-01,9.984696585467111030e-01
3.527000000000000135e-01,9.984696787697400211e-01
3.546000000000000263e-01,9.984696318744861188e-01
3.565000000000000391e-01,9.984695976345117074e-01
3.584000000000000519e-01,9.984695609836146124e-01
3.602999999999999536e-01,9.984690964029806493e-01
3.621999999999999664e-01,9.984683121523350025e-01
3.640999999999999792e-01,9.984680810705229836e-01
3.659999999999999920e-01,9.984684646317028012e-01
3.679000000000000048e-01,9.984686088825661665e-01
3.698000000000000176e-01,9.984683426808119711e-01
3.717000000000000304e-01,9.984681119701835916e-01
3.736000000000000432e-01,9.984679790845362168e-01
3.755000000000000560e-01,9.984678623027966049e-01
3.773999999999999577e-01,9.984678451246007391e-01
3.792999999999999705e-01,9.984679213653215868e-01
3.811999999999999833e-01,9.984680531305968332e-01
3.830999999999999961e-01,9.984682577557085770e-01
3.850000000000000089e-01,9.984684997776548387e-01
3.869000000000000217e-01,9.984687475461591077e-01
3.888000000000000345e-01,9.984689958367941598e-01
3.907000000000000473e-01,9.984692127781640281e-01
3.926000000000000600e-01,9.984693868109616455e-01
3.944999999999999618e-01,9.984695206663983802e-01
3.963999999999999746e-01,9.984696047065227953e-01
3.982999999999999874e-01,9.984696501669360069e-01
4.002000000000000002e-01,9.984696703200365286e-01
4.021000000000000130e-01,9.984696686326494097e-01
4.040000000000000258e-01,9.984696597634741266e-01
4.059000000000000385e-01,9.984696506139462135e-01
4.078000000000000513e-01,9.984696417569270954e-01
4.096999999999999531e-01,9.984696400914097048e-01
4.115999999999999659e-01,9.984696436724362911e-01
4.134999999999999787e-01,9.984696500657812557e-01
4.153999999999999915e-01,9.984696606394023455e-01
4.173000000000000043e-01,9.984696693721549776e-01
4.192000000000000171e-01,9.984696747330762401e-01
4.211000000000000298e-01,9.984696789763151115e-01
4.230000000000000426e-01,9.984696799061468786e-01
4.249000000000000554e-01,9.984696799990099292e-01
4.267999999999999572e-01,9.984696815179067153e-01
4.286999999999999700e-01,9.984696825604686410e-01
4.305999999999999828e-01,9.984696840177832433e-01
4.324999999999999956e-01,9.984696850119684219e-01
4.344000000000000083e-01,9.984696850246589372e-01
4.363000000000000211e-01,9.984696871724804135e-01
4.382000000000000339e-01,9.984696904339381840e-01
4.401000000000000467e-01,9.984696934559247339e-01
4.420000000000000595e-01,9.984696971205023752e-01
4.438999999999999613e-01,9.984696992889680045e-01
4.457999999999999741e-01,9.984696998272287738e-01
4.476999999999999869e-01,9.984697010057493882e-01
4.495999999999999996e-01,9.984697028941953434e-01
4.515000000000000124e-01,9.984697054163765850e-01
4.534000000000000252e-01,9.984697067026259143e-01
4.553000000000000380e-01,9.984697043853693055e-01
4.572000000000000508e-01,9.984696995929859265e-01
4.590999999999999526e-01,9.984696929715388691e-01
4.609999999999999654e-01,9.984696857196388997e-01
4.628999999999999782e-01,9.984696811983705400e-01
4.647999999999999909e-01,9.984696785554506571e-01
4.667000000000000037e-01,9.984696742379065570e-01
4.686000000000000165e-01,9.984696672233139836e-01
4.705000000000000293e-01,9.984696588268838768e-01
4.724000000000000421e-01,9.984696525652169141e-01
4.743000000000000549e-01,9.984696510503744404e-01
4.761999999999999567e-01,9.984696539807416116e-01
4.780999999999999694e-01,9.984696596499113008e-01
4.799999999999999822e-01,9.984696634463773313e-01
4.818999999999999950e-01,9.984696624167330725e-01
4.838000000000000078e-01,9.984696619523903971e-01
4.857000000000000206e-01,9.984696691437887628e-01
4.876000000000000334e-01,9.984696846509265589e-01
4.895000000000000462e-01,9.984697025285335092e-01
4.914000000000000590e-01,9.984697123931969287e-01
4.932999999999999607e-01,9.984697050654399719e-01
4.951999999999999735e-01,9.984696799396933775e-01
4.970999999999999863e-01,9.984696494184920335e-01
4.989999999999999991e-01,9.984696321335060354e-01
5.009000000000000119e-01,9.984696310017663334e-01
5.028000000000000247e-01,9.984696205508365452e-01
5.047000000000000375e-01,9.984695583598052204e-01
5.066000000000000503e-01,9.984694028524501164e-01
5.084999999999999520e-01,9.984691337309344883e-01
5.103999999999999648e-01,9.984687772486683377e-01
5.122999999999999776e-01,9.984684121568813131e-01
5.141999999999999904e-01,9.984681374243301599e-01
5.161000000000000032e-01,9.984680213715856345e-01
5.180000000000000160e-01,9.984680731699380196e-01
