Initial State,Final State,Path,Effective Pi-Time
"[2, -1]","[1, 1]","['[2, -1]', '1', '[1, 1]']",269.8201591977746
"[2, -1]","[1, 0]","['[2, -1]', '-2', '[1, 0]']",274.7549831881484
"[2, -1]","[3, 0]","['[2, -1]', '1', '[4, -1]', '0', '[3, 0]']",217.01149517599373
"[2, -1]","[2, 1]","['[2, -1]', '1', '[2, 1]']",238.34176205815712
"[2, -1]","[3, -1]","['[2, -1]', '-2', '[3, -1]']",144.65739010104858
"[2, -1]","[3, -3]","['[2, -1]', '-2', '[3, -3]']",117.21467199667728
"[2, -1]","[3, 2]","['[2, -1]', '1', '[3, 2]']",122.98791801357962
"[2, -1]","[3, -2]","['[2, -1]', '-2', '[3, -2]']",125.72671130505026
"[2, -1]","[3, 1]","['[2, -1]', '1', '[4, -1]', '0', '[3, 1]']",198.34810748822738
"[2, -1]","[4, 1]","['[2, -1]', '1', '[4, 1]']",111.12809775722323
"[2, -1]","[4, 0]","['[2, -1]', '1', '[4, 0]']",114.73926860126994
"[2, 0]","[1, -1]","['[2, 0]', '-1', '[1, -1]']",321.2600464840258
"[2, 0]","[4, 3]","['[2, 0]', '2', '[4, 3]']",107.7415174209649
"[2, -1]","[4, 2]","['[2, -1]', '1', '[4, 2]']",118.95631045262509
"[2, 0]","[4, 0]","['[2, 0]', '2', '[4, 0]']",149.053143854992
"[2, 0]","[4, 2]","['[2, 0]', '2', '[4, 2]']",119.3879174209649
"[2, -1]",1,"['[2, -1]', '1']",64.3324319918546
"[2, -1]","[3, 3]","['[2, -1]', '1', '[3, 3]']",116.91715927032091
"[2, -1]",0,"['[2, -1]', '1', '[4, -1]', '0']",155.7773783336048
"[2, -1]",-2,"['[2, -1]', '-2']",78.15757199667728
"[2, -1]",-1,"['[2, -1]', '-2', '[3, -2]', '-1']",185.112227756642
"[2, -2]","[1, 1]","['[2, -2]', '0', '[1, 1]']",249.7964938102137
"[2, -1]","[4, 3]","['[2, -1]', '1', '[4, 2]', '2', '[4, 3]']",198.4161104526251
"[2, -2]","[2, 2]","['[2, -2]', '0', '[2, 2]']",218.67063428954822
"[2, -1]","[4, -2]","['[2, -1]', '1', '[4, -1]', '0', '[4, -2]']",184.4391307749763
"[2, -2]","[2, 0]","['[2, -2]', '0', '[2, 0]']",200.5551813000056
"[2, -2]","[2, -1]","['[2, -2]', '-2', '[2, -1]']",174.60734467609615
"[2, -1]","[4, -1]","['[2, -1]', '1', '[4, -1]']",104.95888196383159
"[2, -1]",2,"['[2, -1]', '1', '[4, 2]', '2']",164.5094104526251
"[2, 0]","[4, 1]","['[2, 0]', '2', '[4, 1]']",142.57060124549534
"[2, -2]","[3, 0]","['[2, -2]', '-1', '[3, 0]']",144.38035764508535
"[2, -1]","[4, -4]","['[2, -1]', '-2', '[4, -4]']",99.15577199667727
"[2, -2]","[3, -2]","['[2, -2]', '-2', '[3, -2]']",144.01891198779185
"[2, -2]","[3, -3]","['[2, -2]', '-2', '[3, -3]']",135.50687267941888
"[2, -2]","[3, 2]","['[2, -2]', '0', '[3, 2]']",149.2357305677773
"[2, -1]","[4, -3]","['[2, -1]', '-2', '[3, -2]', '-1', '[4, -3]']",209.1649465911375
