Initial State Final State                                Path  Effective Pi-Time
      [3, -2]           1           [[3, -2], -2, [2, -1], 1]         196.975405
      [3, -2]           2            [[3, -2], -2, [2, 0], 2]         270.512347
      [3, -2]     [4, -4]              [[3, -2], -2, [4, -4]]          69.753707
      [3, -2]     [4, -3]              [[3, -2], -1, [4, -3]]          87.452498
      [3, -2]     [4, -2]              [[3, -2], -1, [4, -2]]         138.842163
      [3, -2]     [4, -1]  [[3, -2], -2, [2, -1], 1, [4, -1]]         239.347522
      [3, -2]      [4, 0]   [[3, -2], -2, [2, -1], 1, [4, 0]]         249.918631
      [3, -2]      [4, 1]   [[3, -2], -2, [2, -1], 1, [4, 1]]         244.054808
      [3, -2]      [4, 2]   [[3, -2], -2, [2, -1], 1, [4, 2]]         254.311944
      [3, -2]      [4, 3]    [[3, -2], -2, [2, 0], 2, [4, 3]]         306.112347
           -1          -2                   [-1, [3, -2], -2]         110.229412
      [3, -2]      [4, 4]    [[3, -2], -2, [2, 0], 2, [4, 4]]         313.742347
            0          -2                    [0, [2, -2], -2]         185.235811
      [3, -2]     [3, -3]              [[3, -2], -2, [3, -3]]          88.887707
            0          -1                    [0, [4, -2], -1]         106.364654
      [3, -1]          -2                       [[3, -1], -2]          69.793709
            1          -2                    [1, [2, -1], -2]         149.118699
      [3, -1]          -1                       [[3, -1], -1]          45.617558
       [4, 3]     [4, -4]    [[4, 3], 2, [2, 0], -2, [4, -4]]         280.152640
            1          -1                    [1, [4, -1], -1]         223.226889
       [2, 0]           1            [[2, 0], -2, [2, -1], 1]         294.758925
       [2, 0]      [3, 3]    [[2, 0], -2, [2, -1], 1, [3, 3]]         345.135014
       [1, 0]     [3, -1]               [[1, 0], -2, [3, -1]]         257.984864
       [4, 2]          -2            [[4, 2], 1, [2, -1], -2]         206.455237
       [4, 3]     [4, -3]   [[4, 3], 1, [4, -1], -1, [4, -3]]         419.451537
       [1, 0]     [3, -2]               [[1, 0], -2, [3, -2]]         236.047862
            1           0                     [1, [4, -1], 0]          95.752253
       [2, 0]           2                         [[2, 0], 2]          77.015414
       [2, 0]     [2, -2]                [[2, 0], 0, [2, -2]]         204.879354
       [4, 2]          -1             [[4, 2], 1, [2, 1], -1]         343.608765
       [1, 0]      [4, 2]                 [[1, 0], 2, [4, 2]]         174.007654
       [4, 3]     [4, -2]     [[4, 3], 1, [3, 2], 0, [4, -2]]         324.568626
            2          -2                     [2, [2, 0], -2]         222.655640
       [2, 0]     [4, -4]               [[2, 0], -2, [4, -4]]         167.537226
       [1, 0]     [3, -3]               [[1, 0], -2, [3, -3]]         229.222155
       [2, 0]     [2, -1]               [[2, 0], -2, [2, -1]]         227.676340
       [4, 2]           0             [[4, 2], 1, [4, -1], 0]         153.088791
       [4, 3]     [4, -1]                [[4, 3], 1, [4, -1]]         213.516972
      [1, -1]     [2, -2]              [[1, -1], -2, [2, -2]]         277.071094
            2          -1                     [2, [2, 1], -1]         223.410943
       [2, 0]     [4, -3]               [[2, 0], -1, [4, -3]]         175.328611
       [2, 1]          -2           [[2, 1], -1, [3, -2], -2]         221.547511
       [4, 2]           1                         [[4, 2], 1]          57.336538
       [4, 3]      [4, 0]                 [[4, 3], 2, [4, 0]]         114.046302
            2           0                      [2, [4, 0], 0]         147.194302
       [2, 0]     [4, -2]                [[2, 0], 0, [4, -2]]         146.594739
       [2, 1]          -1                        [[2, 1], -1]         111.318099
       [1, 0]     [4, -1]                [[1, 0], 1, [4, -1]]         369.643188
       [4, 2]           2                         [[4, 2], 2]          45.832000
       [4, 3]      [4, 1]                 [[4, 3], 2, [4, 1]]         107.801628
            2           1                      [2, [4, 2], 1]         103.168538
       [2, 0]     [4, -1]                [[2, 0], 0, [4, -1]]         170.079679
       [2, 1]           0            [[2, 1], -1, [4, -2], 0]         217.682753
       [4, 2]     [4, -4]   [[4, 2], 1, [2, -1], -2, [4, -4]]         228.352237
       [4, 3]      [4, 2]                 [[4, 3], 2, [4, 2]]          81.432000
       [1, 0]      [4, 4]                 [[1, 0], 2, [4, 4]]         171.405654
      [4, -4]          -2                       [[4, -4], -2]          21.897000
       [2, 0]      [4, 0]                 [[2, 0], 2, [4, 0]]         155.461716
       [2, 1]           1                         [[2, 1], 1]         174.954127
       [4, 2]     [4, -3]    [[4, 2], 0, [3, 0], -1, [4, -3]]        7592.507103
       [4, 4]          -2             [[4, 4], 2, [2, 0], -2]         265.885640
      [4, -4]          -1          [[4, -4], -2, [3, -2], -1]         132.126412
       [2, 0]      [4, 1]                 [[2, 0], 2, [4, 1]]         149.217043
      [1, -1]      [3, 3]                [[1, -1], 1, [3, 3]]         252.568670
       [2, 1]           2                         [[2, 1], 2]         112.092844
