Initial State,Final State,Path,Effective Pi-Time
"[3, -2]",0,"['[3, -2]', '-1', '[4, -2]', '0']",168.73735936366364
"[3, -2]","[4, 4]","['[3, -2]', '-2', '[2, 0]', '2', '[4, 4]']",313.7423470952298
"[3, -2]",-2,"['[3, -2]', '-2']",47.85670682730924
"[3, -2]",-1,"['[3, -2]', '-1']",62.372705615428245
"[3, -2]","[4, -2]","['[3, -2]', '-1', '[4, -2]']",138.84216319540042
"[3, 1]","[4, 4]","['[3, 1]', '0', '[4, 0]', '2', '[4, 4]']",235.11188946135832
"[3, -3]","[4, 1]","['[3, -3]', '-2', '[2, -1]', '1', '[4, 1]']",237.22910153137366
"[3, -2]","[4, -3]","['[3, -2]', '-1', '[4, -3]']",87.45249806825842
"[3, -3]","[4, 0]","['[3, -3]', '-2', '[2, -1]', '1', '[4, 0]']",243.09292435275063
"[3, -3]","[4, -1]","['[3, -3]', '-2', '[2, -1]', '1', '[4, -1]']",232.5218154294159
"[3, -3]","[4, 2]","['[3, -3]', '-2', '[2, -1]', '1', '[4, 2]']",247.48623700783747
"[3, -3]","[4, 3]","['[3, -3]', '-2', '[2, 0]', '2', '[4, 3]']",299.2866402679206
"[3, -3]",0,"['[3, -3]', '-1', '[4, -2]', '0']",219.5797420763111
"[3, -3]",1,"['[3, -3]', '-2', '[2, -1]', '1']",190.14969854629902
"[3, -3]",-1,"['[3, -3]', '-1']",113.2150883280757
"[3, -3]",2,"['[3, -3]', '-2', '[2, 0]', '2']",263.68664026792055
"[3, -3]","[4, -2]","['[3, -3]', '-1', '[4, -2]']",189.68454590804788
"[3, -3]",-2,"['[3, -3]', '-2']",41.031
"[4, 4]","[4, -1]","['[4, 4]', '2', '[4, 2]', '1', '[4, -1]']",188.77065534465535
"[4, 4]","[4, 0]","['[4, 4]', '2', '[4, 0]']",121.67630163934425
"[4, 4]","[4, -2]","['[4, 4]', '2', '[4, 0]', '0', '[4, -2]']",220.3194978076075
"[4, 4]",2,"['[4, 4]', '2']",43.23
"[4, 4]",1,"['[4, 4]', '2', '[4, 2]', '1']",146.39853846153846
