Initial State Final State                                          Path  Effective Pi-Time
       [3, 2]     [3, -2]             [[3, 2], 0, [4, -2], -1, [3, -2]]         225.484121
       [3, 1]     [4, -2]                          [[3, 1], 0, [4, -2]]          71.232482
       [3, 1]      [4, 3]                [[3, 1], 0, [4, 0], 2, [4, 3]]         220.011551
       [3, 1]      [1, 0]                [[3, 1], 0, [4, 0], 2, [1, 0]]         308.996534
       [3, 2]     [4, -4]             [[3, 2], 1, [2, -1], -2, [4, -4]]         222.143690
       [3, 1]          -1                                  [[3, 1], -1]          97.527202
       [3, 0]      [2, 2]                           [[3, 0], 0, [2, 2]]         195.326935
       [3, 0]      [2, 0]                           [[3, 0], 0, [2, 0]]         177.211482
       [3, 2]     [4, -3]             [[3, 2], 0, [4, -2], -1, [4, -3]]         190.151323
       [3, 1]     [4, -1]                          [[3, 1], 0, [4, -1]]          93.389226
       [3, 0]     [2, -2]                         [[3, 0], -1, [2, -2]]         144.380358
       [3, 1]           2                        [[3, 1], 0, [4, 0], 2]         186.104851
       [3, 0]      [2, 1]                          [[3, 0], -1, [2, 1]]         161.437713
       [3, 0]     [3, -1]                         [[3, 0], -1, [3, -1]]          90.583084
       [3, 0]     [3, -2]                         [[3, 0], -1, [3, -2]]         104.639291
       [3, 0]      [1, 1]                           [[3, 0], 0, [1, 1]]         226.452794
       [3, 0]     [3, -3]                         [[3, 0], -1, [3, -3]]         153.808524
       [3, 0]     [1, -1]                         [[3, 0], -1, [1, -1]]         223.479391
       [3, 0]     [2, -1]              [[3, 0], 0, [4, -1], 1, [2, -1]]         217.011495
       [3, 0]      [4, 1]                           [[3, 0], 0, [4, 1]]         195.062369
       [3, 1]      [4, 4]                [[3, 1], 0, [4, 0], 2, [4, 4]]         231.238751
       [3, 0]      [4, 2]               [[3, 0], 0, [4, -1], 1, [4, 2]]         207.302942
       [3, 0]      [3, 1]                           [[3, 0], 0, [3, 1]]         103.804846
       [3, 0]     [4, -1]                          [[3, 0], 0, [4, -1]]         112.052613
       [3, 0]      [1, 0]                           [[3, 0], 2, [1, 0]]         314.642088
       [3, 0]           2                                   [[3, 0], 2]         191.750405
       [3, 0]           1                       [[3, 0], 0, [4, -1], 1]         152.679063
       [3, 0]           0                                   [[3, 0], 0]          61.234117
       [3, 0]          -1                                  [[3, 0], -1]          45.253774
       [3, 0]      [4, 3]                           [[3, 0], 2, [4, 3]]         225.657105
       [3, 1]          -2                     [[3, 1], -1, [3, -2], -2]         204.481858
       [3, 0]     [4, -4]            [[3, 0], -1, [3, -2], -2, [4, -4]]         173.206630
       [3, 0]     [4, -2]                          [[3, 0], 0, [4, -2]]          89.895869
       [3, 0]     [4, -3]                         [[3, 0], -1, [4, -3]]          69.306493
       [3, 0]      [3, 2]                           [[3, 0], 0, [3, 2]]         125.892031
      [3, -1]      [2, 0]                         [[3, -1], -1, [2, 0]]         188.363739
      [3, -1]     [2, -1]                        [[3, -1], -2, [2, -1]]         144.657390
